level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2203	1700	-1	
2	1	1	0	0	0	671	97	888	31	-1	
3	1	1	1	0	0	671	97	888	31	-1	
4	1	1	1	1	0	671	97	888	31	-1	
5	1	1	1	1	1	671	97	25	31	57.357552	48.
5	1	1	1	1	2	1114	104	70	17	71.277390	Journal
5	1	1	1	1	3	1190	104	20	18	91.099968	of
5	1	1	1	1	4	1212	104	27	16	96.722549	the
5	1	1	1	1	5	1246	104	77	17	83.926888	National
5	1	1	1	1	6	1330	104	50	17	44.993935	Pinch
5	1	1	1	1	7	1386	105	35	16	93.004539	and
5	1	1	1	1	8	1424	104	66	18	45.236721	Softhill
5	1	1	1	1	9	1495	106	64	16	66.037453	Soviet:
2	1	2	0	0	0	784	155	647	94	-1	
3	1	2	1	0	0	784	155	647	94	-1	
4	1	2	1	1	0	784	155	647	94	-1	
5	1	2	1	1	1	784	155	71	94	33.496147	FS
5	1	2	1	1	2	895	182	123	37	93.116501	NFSS
5	1	2	1	1	3	1039	182	145	37	96.377625	FINCH
5	1	2	1	1	4	1206	182	122	36	93.459106	SHOP
5	1	2	1	1	5	1363	159	68	84	17.233934	jg
2	1	3	0	0	0	669	121	889	3	-1	
3	1	3	1	0	0	669	121	889	3	-1	
4	1	3	1	1	0	669	121	889	3	-1	
5	1	3	1	1	1	669	121	889	3	95.000000	 
2	1	4	0	0	0	680	154	862	6	-1	
3	1	4	1	0	0	680	154	862	6	-1	
4	1	4	1	1	0	680	154	862	6	-1	
5	1	4	1	1	1	680	154	862	6	95.000000	 
2	1	5	0	0	0	1538	155	4	94	-1	
3	1	5	1	0	0	1538	155	4	94	-1	
4	1	5	1	1	0	1538	155	4	94	-1	
5	1	5	1	1	1	1538	155	4	94	95.000000	 
2	1	6	0	0	0	680	244	862	5	-1	
3	1	6	1	0	0	680	244	862	5	-1	
4	1	6	1	1	0	680	244	862	5	-1	
5	1	6	1	1	1	680	244	862	5	95.000000	 
2	1	7	0	0	0	680	155	4	94	-1	
3	1	7	1	0	0	680	155	4	94	-1	
4	1	7	1	1	0	680	155	4	94	-1	
5	1	7	1	1	1	680	155	4	94	95.000000	 
2	1	8	0	0	0	954	306	556	20	-1	
3	1	8	1	0	0	954	306	556	20	-1	
4	1	8	1	1	0	954	306	556	20	-1	
5	1	8	1	1	1	954	306	138	19	50.025459	NATURE'S
5	1	8	1	1	2	1103	306	286	20	90.690437	JEWELS—GOULDIAN
5	1	8	1	1	3	1400	307	110	19	96.541084	POSTER
2	1	9	0	0	0	950	348	564	133	-1	
3	1	9	1	0	0	950	348	564	133	-1	
4	1	9	1	1	0	950	348	564	22	-1	
5	1	9	1	1	1	950	348	44	18	95.170326	This
5	1	9	1	1	2	1011	348	95	18	96.192139	beautiful
5	1	9	1	1	3	1123	349	68	21	93.072876	poster
5	1	9	1	1	4	1208	348	46	22	72.929176	(24"
5	1	9	1	1	5	1271	353	11	13	96.202301	x
5	1	9	1	1	6	1299	349	46	21	95.388420	36")
5	1	9	1	1	7	1362	349	100	21	96.209007	depicting
5	1	9	1	1	8	1478	349	36	17	96.817253	the
4	1	9	1	2	0	950	376	564	21	-1	
5	1	9	1	2	1	950	380	61	17	72.831963	many
5	1	9	1	2	2	1030	376	109	17	96.009796	mutations
5	1	9	1	2	3	1156	376	22	17	96.475685	of
5	1	9	1	2	4	1195	376	35	17	93.237282	the
5	1	9	1	2	5	1248	376	96	17	41.513161	Gouidian
5	1	9	1	2	6	1363	376	52	17	95.002472	finch
5	1	9	1	2	7	1435	377	16	17	96.311539	is
5	1	9	1	2	8	1470	380	44	14	96.386612	now
4	1	9	1	3	0	950	402	563	22	-1	
5	1	9	1	3	1	950	402	97	18	95.730400	available
5	1	9	1	3	2	1063	402	45	18	88.744408	thru
5	1	9	1	3	3	1127	402	57	19	88.744408	NFSS
5	1	9	1	3	4	1202	402	120	22	92.149734	FinchShop.
5	1	9	1	3	5	1339	402	41	19	96.360085	The
5	1	9	1	3	6	1396	404	66	17	95.615166	colors
5	1	9	1	3	7	1479	408	34	13	96.709465	are
4	1	9	1	4	0	950	429	563	19	-1	
5	1	9	1	4	1	950	430	79	18	96.589554	intense
5	1	9	1	4	2	1040	429	39	19	96.560257	and
5	1	9	1	4	3	1090	429	34	19	93.079468	the
5	1	9	1	4	4	1136	429	39	19	92.922607	3-D
5	1	9	1	4	5	1186	430	44	18	63.026218	look
5	1	9	1	4	6	1240	429	22	19	96.993607	of
5	1	9	1	4	7	1271	429	35	19	97.011154	the
5	1	9	1	4	8	1316	429	55	19	95.914108	birds
5	1	9	1	4	9	1382	430	59	18	96.559402	make
5	1	9	1	4	10	1451	430	40	18	96.559402	this
5	1	9	1	4	11	1502	434	11	14	96.791069	a
4	1	9	1	5	0	950	457	520	24	-1	
5	1	9	1	5	1	950	460	54	17	95.688484	most
5	1	9	1	5	2	1014	460	84	17	96.259407	unusual
5	1	9	1	5	3	1108	460	87	17	96.398895	addition
5	1	9	1	5	4	1204	460	22	17	96.786980	to
5	1	9	1	5	5	1235	464	39	17	96.719604	any
5	1	9	1	5	6	1283	464	64	13	95.608299	room.
5	1	9	1	5	7	1374	457	96	24	95.608299	$20.00
2	1	10	0	0	0	1143	593	215	20	-1	
3	1	10	1	0	0	1143	593	215	20	-1	
4	1	10	1	1	0	1143	593	215	20	-1	
5	1	10	1	1	1	1143	593	72	20	95.840317	NEST
5	1	10	1	1	2	1224	593	58	20	95.574684	BOX
5	1	10	1	1	3	1292	593	66	20	95.755531	KITS
2	1	11	0	0	0	968	636	565	132	-1	
3	1	11	1	0	0	968	636	565	132	-1	
4	1	11	1	1	0	970	636	563	23	-1	
5	1	11	1	1	1	970	636	49	17	93.187630	Nest
5	1	11	1	1	2	1030	636	62	17	89.689415	bexes
5	1	11	1	1	3	1104	637	18	18	95.057632	In
5	1	11	1	1	4	1134	636	25	18	96.813850	kit
5	1	11	1	1	5	1170	636	57	21	96.796036	form,
5	1	11	1	1	6	1239	636	21	18	92.772522	5"
5	1	11	1	1	7	1271	637	13	16	92.772522	X
5	1	11	1	1	8	1295	636	21	18	77.980690	5”
5	1	11	1	1	9	1327	637	13	16	91.682236	X
5	1	11	1	1	10	1351	636	23	19	75.518074	6"
5	1	11	1	1	11	1384	636	52	23	94.154343	high.
5	1	11	1	1	12	1454	636	79	19	95.778053	Choose
4	1	11	1	2	0	970	662	561	23	-1	
5	1	11	1	2	1	970	663	50	18	94.181694	from
5	1	11	1	2	2	1032	663	34	18	94.181694	the
5	1	11	1	2	3	1078	663	38	18	96.925423	five
5	1	11	1	2	4	1128	662	70	23	79.939240	styles:
5	1	11	1	2	5	1223	663	105	22	79.939240	Half-open
5	1	11	1	2	6	1340	663	54	18	96.576561	front
5	1	11	1	2	7	1406	664	96	17	77.820480	available
5	1	11	1	2	8	1514	664	17	17	96.873466	in
4	1	11	1	3	0	968	689	563	23	-1	
5	1	11	1	3	1	968	689	44	19	96.398773	side
5	1	11	1	3	2	1027	694	23	14	96.895950	or
5	1	11	1	3	3	1063	693	45	15	96.277809	rear
5	1	11	1	3	4	1122	691	77	20	93.227592	mount;
5	1	11	1	3	5	1218	690	121	22	92.231583	Hinged-top
5	1	11	1	3	6	1354	690	24	18	91.244499	fid
5	1	11	1	3	7	1394	690	44	18	96.571915	with
5	1	11	1	3	8	1454	690	45	18	95.895821	hole
5	1	11	1	3	9	1514	692	17	16	96.727036	in
4	1	11	1	4	0	968	716	563	21	-1	
5	1	11	1	4	1	968	716	54	19	88.350723	front
5	1	11	1	4	2	1042	717	96	18	0.000000	available
5	1	11	1	4	3	1158	717	18	18	93.164833	in
5	1	11	1	4	4	1196	717	50	20	93.164833	side,
5	1	11	1	4	5	1267	717	59	20	96.484894	front,
5	1	11	1	4	6	1347	721	24	14	95.933998	or
5	1	11	1	4	7	1390	721	45	14	91.026939	rear
5	1	11	1	4	8	1455	718	76	17	91.026939	mount.
4	1	11	1	5	0	970	744	77	24	-1	
5	1	11	1	5	1	970	744	77	24	91.096481	$4.99
2	1	12	0	0	0	700	582	2	201	-1	
3	1	12	1	0	0	700	582	2	201	-1	
4	1	12	1	1	0	700	582	2	201	-1	
5	1	12	1	1	1	700	582	2	201	95.000000	 
2	1	13	0	0	0	1010	819	457	50	-1	
3	1	13	1	0	0	1010	819	457	50	-1	
4	1	13	1	1	0	1010	819	457	20	-1	
5	1	13	1	1	1	1010	819	296	20	91.458298	VIDEO—WONDERFUL
5	1	13	1	1	2	1315	819	104	20	96.295822	WORLD
5	1	13	1	1	3	1430	819	37	20	96.285225	OF
4	1	13	1	2	0	1060	849	356	20	-1	
5	1	13	1	2	1	1060	849	123	20	93.242188	FINCHES
5	1	13	1	2	2	1192	849	60	20	90.579819	ANO
5	1	13	1	2	3	1263	849	153	20	91.364159	SOFTBILLS
2	1	14	0	0	0	942	892	592	190	-1	
3	1	14	1	0	0	942	892	592	190	-1	
4	1	14	1	1	0	942	892	589	19	-1	
5	1	14	1	1	1	942	892	41	19	96.157341	The
5	1	14	1	1	2	998	892	121	19	96.067039	“Wonderful
5	1	14	1	1	3	1134	892	62	18	47.252182	World
5	1	14	1	1	4	1210	892	21	19	96.701286	of
5	1	14	1	1	5	1244	892	82	19	96.908607	Finches
5	1	14	1	1	6	1339	892	40	19	93.229935	and
5	1	14	1	1	7	1394	892	94	19	89.835594	Softbills:
5	1	14	1	1	8	1504	893	27	18	96.709663	An
4	1	14	1	2	0	944	920	588	20	-1	
5	1	14	1	2	1	944	920	154	20	85.785477	Introduction,”
5	1	14	1	2	2	1115	920	16	17	92.990585	is
5	1	14	1	2	3	1148	924	26	13	94.519302	an
5	1	14	1	2	4	1191	920	125	19	95.233719	informative
5	1	14	1	2	5	1333	920	60	17	96.411171	video
5	1	14	1	2	6	1410	920	49	19	95.744972	slide
5	1	14	1	2	7	1476	920	56	19	96.170441	show
4	1	14	1	3	0	943	947	590	21	-1	
5	1	14	1	3	1	943	947	95	18	96.389595	narrated
5	1	14	1	3	2	1048	947	26	21	96.217575	by
5	1	14	1	3	3	1083	947	33	17	96.716881	Mr.
5	1	14	1	3	4	1127	947	35	18	96.674248	Jon
5	1	14	1	3	5	1174	947	90	18	95.669197	Hoffman
5	1	14	1	3	6	1275	947	40	18	95.787949	and
5	1	14	1	3	7	1326	948	16	17	94.688309	is
5	1	14	1	3	8	1351	947	98	18	96.335693	available
5	1	14	1	3	9	1459	948	18	16	96.672455	in
5	1	14	1	3	10	1486	948	47	17	96.605911	VHS
4	1	14	1	4	0	943	973	591	23	-1	
5	1	14	1	4	1	943	973	80	19	95.834045	format.
5	1	14	1	4	2	1038	973	40	19	96.015244	The
5	1	14	1	4	3	1091	975	57	17	96.273842	video
5	1	14	1	4	4	1162	975	77	21	96.299889	depicts
5	1	14	1	4	5	1252	973	40	19	96.512512	and
5	1	14	1	4	6	1306	975	104	17	96.396248	describes
5	1	14	1	4	7	1422	975	77	17	96.620407	dozens
5	1	14	1	4	8	1511	975	23	17	96.620407	of
4	1	14	1	5	0	943	1001	590	23	-1	
5	1	14	1	5	1	943	1001	79	19	96.700729	finches
5	1	14	1	5	2	1036	1001	40	19	91.707794	and
5	1	14	1	5	3	1092	1001	99	19	24.747963	softbilled
5	1	14	1	5	4	1208	1001	59	19	96.266991	birds.
5	1	14	1	5	5	1284	1001	15	18	94.889519	A
5	1	14	1	5	6	1314	1002	121	22	89.812424	companion
5	1	14	1	5	7	1451	1001	82	19	89.812424	bookiet
4	1	14	1	6	0	943	1029	589	22	-1	
5	1	14	1	6	1	943	1029	103	22	95.999176	produced
5	1	14	1	6	2	1063	1029	25	22	96.451111	by
5	1	14	1	6	3	1106	1029	34	18	90.677940	the
5	1	14	1	6	4	1158	1029	57	18	90.677940	NFSS
5	1	14	1	6	5	1234	1029	125	19	93.126831	Educational
5	1	14	1	6	6	1377	1029	121	19	95.552002	Committee
5	1	14	1	6	7	1516	1029	16	19	95.552002	is
4	1	14	1	7	0	943	1057	438	25	-1	
5	1	14	1	7	1	943	1059	92	19	94.757477	included
5	1	14	1	7	2	1044	1060	46	17	96.970833	with
5	1	14	1	7	3	1099	1060	51	18	96.883965	each
5	1	14	1	7	4	1159	1060	115	22	95.389771	videotape.
5	1	14	1	7	5	1284	1057	97	25	96.503197	$20.00
2	1	15	0	0	0	674	278	264	758	-1	
3	1	15	1	0	0	674	278	264	758	-1	
4	1	15	1	1	0	674	278	264	758	-1	
5	1	15	1	1	1	674	278	264	758	95.000000	 
2	1	16	0	0	0	674	1116	261	471	-1	
3	1	16	1	0	0	674	1116	261	471	-1	
4	1	16	1	1	0	674	1116	261	50	-1	
5	1	16	1	1	1	674	1116	261	50	95.000000	 
4	1	16	1	2	0	674	1166	230	55	-1	
5	1	16	1	2	1	674	1166	230	55	95.000000	   
4	1	16	1	3	0	674	1221	232	55	-1	
5	1	16	1	3	1	674	1221	232	55	95.000000	   
4	1	16	1	4	0	674	1276	261	311	-1	
5	1	16	1	4	1	674	1276	261	311	95.000000	   
2	1	17	0	0	0	1023	1135	392	20	-1	
3	1	17	1	0	0	1023	1135	392	20	-1	
4	1	17	1	1	0	1023	1135	392	20	-1	
5	1	17	1	1	1	1023	1135	204	20	82.648972	VIDEO—FINCH
5	1	17	1	1	2	1239	1135	176	20	96.130219	HUSBANDRY
2	1	18	0	0	0	904	1177	627	135	-1	
3	1	18	1	0	0	904	1177	627	135	-1	
4	1	18	1	1	0	904	1177	627	23	-1	
5	1	18	1	1	1	904	1177	46	19	96.917999	This
5	1	18	1	1	2	962	1177	60	18	96.434921	video
5	1	18	1	1	3	1035	1177	55	22	95.924416	(VHS
5	1	18	1	1	4	1103	1178	87	22	88.833717	Format}
5	1	18	1	1	5	1203	1178	25	22	96.542633	by
5	1	18	1	1	6	1242	1179	58	17	92.989952	Vince
5	1	18	1	1	7	1314	1179	76	21	91.946312	Moase,
5	1	18	1	1	8	1403	1177	94	23	94.269562	formerly
5	1	18	1	1	9	1510	1177	21	19	96.958542	of
4	1	18	1	2	0	904	1205	625	22	-1	
5	1	18	1	2	1	904	1205	35	18	96.295059	the
5	1	18	1	2	2	951	1205	61	18	96.626495	Metro
