level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	1700	2203	-1	
2	1	1	0	0	0	89	661	18	445	-1	
3	1	1	1	0	0	89	661	18	445	-1	
4	1	1	1	1	0	89	661	18	445	-1	
5	1	1	1	1	1	89	1035	15	71	26.667595	Jonvadl
5	1	1	1	1	2	89	1010	17	20	94.239220	of
5	1	1	1	1	3	89	982	15	25	95.944702	the
5	1	1	1	1	4	89	897	15	77	93.852928	National
5	1	1	1	1	5	89	841	17	51	36.112862	Fach
5	1	1	1	1	6	89	799	16	35	85.758812	aud
5	1	1	1	1	7	89	730	17	66	50.021709	Sufthill
5	1	1	1	1	8	90	661	17	64	35.521835	Soctet:
2	1	2	0	0	0	126	661	1473	18	-1	
3	1	2	1	0	0	126	661	1473	18	-1	
4	1	2	1	1	0	126	661	1473	18	-1	
5	1	2	1	1	1	126	661	1473	18	95.000000	 
2	1	3	0	0	0	125	701	1474	18	-1	
3	1	3	1	0	0	125	701	1474	18	-1	
4	1	3	1	1	0	125	701	1474	18	-1	
5	1	3	1	1	1	125	701	1474	18	95.000000	 
2	1	4	0	0	0	126	743	1473	17	-1	
3	1	4	1	0	0	126	743	1473	17	-1	
4	1	4	1	1	0	126	743	1473	17	-1	
5	1	4	1	1	1	126	743	1473	17	95.000000	 
2	1	5	0	0	0	126	784	1473	18	-1	
3	1	5	1	0	0	126	784	1473	18	-1	
4	1	5	1	1	0	126	784	1473	18	-1	
5	1	5	1	1	1	126	784	1473	18	95.000000	 
2	1	6	0	0	0	126	826	1473	18	-1	
3	1	6	1	0	0	126	826	1473	18	-1	
4	1	6	1	1	0	126	826	1473	18	-1	
5	1	6	1	1	1	126	826	1473	18	95.000000	 
2	1	7	0	0	0	126	868	1473	17	-1	
3	1	7	1	0	0	126	868	1473	17	-1	
4	1	7	1	1	0	126	868	1473	17	-1	
5	1	7	1	1	1	126	868	1473	17	95.000000	 
2	1	8	0	0	0	126	910	1472	16	-1	
3	1	8	1	0	0	126	910	1472	16	-1	
4	1	8	1	1	0	126	910	1472	16	-1	
5	1	8	1	1	1	126	910	1472	16	95.000000	 
2	1	9	0	0	0	125	950	1473	19	-1	
3	1	9	1	0	0	125	950	1473	19	-1	
4	1	9	1	1	0	125	950	1473	19	-1	
5	1	9	1	1	1	125	950	1473	19	95.000000	 
2	1	10	0	0	0	125	991	1473	18	-1	
3	1	10	1	0	0	125	991	1473	18	-1	
4	1	10	1	1	0	125	991	1473	18	-1	
5	1	10	1	1	1	125	991	1473	18	95.000000	 
2	1	11	0	0	0	125	1033	1473	17	-1	
3	1	11	1	0	0	125	1033	1473	17	-1	
4	1	11	1	1	0	125	1033	1473	17	-1	
5	1	11	1	1	1	125	1033	1473	17	95.000000	 
2	1	12	0	0	0	125	1074	1473	17	-1	
3	1	12	1	0	0	125	1074	1473	17	-1	
4	1	12	1	1	0	125	1074	1473	17	-1	
5	1	12	1	1	1	125	1074	1473	17	95.000000	 
2	1	13	0	0	0	125	1115	1473	18	-1	
3	1	13	1	0	0	125	1115	1473	18	-1	
4	1	13	1	1	0	125	1115	1473	18	-1	
5	1	13	1	1	1	125	1115	1473	18	95.000000	 
2	1	14	0	0	0	124	1157	1474	17	-1	
3	1	14	1	0	0	124	1157	1474	17	-1	
4	1	14	1	1	0	124	1157	1474	17	-1	
5	1	14	1	1	1	124	1157	1474	17	95.000000	 
2	1	15	0	0	0	124	1198	1474	17	-1	
3	1	15	1	0	0	124	1198	1474	17	-1	
4	1	15	1	1	0	124	1198	1474	17	-1	
5	1	15	1	1	1	124	1198	1474	17	95.000000	 
2	1	16	0	0	0	124	1240	1473	17	-1	
3	1	16	1	0	0	124	1240	1473	17	-1	
4	1	16	1	1	0	124	1240	1473	17	-1	
5	1	16	1	1	1	124	1240	1473	17	95.000000	 
2	1	17	0	0	0	823	669	10	644	-1	
3	1	17	1	0	0	823	669	10	644	-1	
4	1	17	1	1	0	823	669	10	644	-1	
5	1	17	1	1	1	823	669	10	644	95.000000	 
2	1	18	0	0	0	746	668	10	645	-1	
3	1	18	1	0	0	746	668	10	645	-1	
4	1	18	1	1	0	746	668	10	645	-1	
5	1	18	1	1	1	746	668	10	645	95.000000	 
2	1	19	0	0	0	944	669	9	645	-1	
3	1	19	1	0	0	944	669	9	645	-1	
4	1	19	1	1	0	944	669	9	645	-1	
5	1	19	1	1	1	944	669	9	645	95.000000	 
2	1	20	0	0	0	982	669	9	645	-1	
3	1	20	1	0	0	982	669	9	645	-1	
4	1	20	1	1	0	982	669	9	645	-1	
5	1	20	1	1	1	982	669	9	645	95.000000	 
2	1	21	0	0	0	124	1302	1473	18	-1	
3	1	21	1	0	0	124	1302	1473	18	-1	
4	1	21	1	1	0	124	1302	1473	18	-1	
5	1	21	1	1	1	124	1302	1473	18	95.000000	 
2	1	22	0	0	0	122	667	9	706	-1	
3	1	22	1	0	0	122	667	9	706	-1	
4	1	22	1	1	0	122	667	9	706	-1	
5	1	22	1	1	1	122	667	9	706	95.000000	 
2	1	23	0	0	0	650	667	10	708	-1	
3	1	23	1	0	0	650	667	10	708	-1	
